,Volcanic Centre Name,Latitude,Longitude,Hazard Score (raw),Hazard (%),Hazard contrib (%),Exposure Score (raw),Exposure (%),Exposure contrib (%),Vulnerability (raw),Vulnerability (%),Vulnerability contrib (%),Data completeness (raw),Data gap (%),Data gap contrib (%),Final score (0–1),Final score (%)
0,Aitken_Hill,-37.609,144.9043,3.866810509185,19.334052545925,1.9334052545925005,1,100.0,35.0,37.42442465756515,36.133821708714486,14.453528683485795,6.0,50.0,7.5,0.5888693393807829,58.886933938078286
1,Baird_Hill,-37.3915,143.7341,2.381850488785,11.909252443925,1.1909252443925,4,25.0,8.75,29.733006583502032,28.70764663940182,11.483058655760727,1.0,91.66666666666666,13.749999999999998,0.3517398390015323,35.173983900153225
2,Bald_Hill_Blakeville,-37.5277,144.2105,2.907297880585,14.536489402924998,1.4536489402925,2,75.0,26.249999999999996,21.96851985548765,21.210922730967923,8.484369092387169,2.0,83.33333333333334,12.5,0.48688018032679664,48.688018032679665
3,Bald_Hill_Daylesford,-37.3285,144.11,2.381850488785,11.909252443925,1.1909252443925,1,100.0,35.0,27.719349815883355,26.763431991095356,10.705372796438143,3.0,75.0,11.249999999999998,0.5814629804083065,58.146298040830644
4,Bald_Hill_Edgecombe,-37.1987,144.4557,0.6798578499850001,3.3992892499250007,0.33992892499250005,3,50.0,17.5,16.37955701033845,15.814698504914851,6.325879401965941,3.0,75.0,11.249999999999998,0.35415808326958437,35.415808326958434
5,Bald_Hill_Kalkallo,-37.5054,144.9755,2.256200025385,11.281000126925,1.1281000126925,1,100.0,35.0,28.36580432594712,27.387593143155087,10.955037257262035,7.0,41.666666666666664,6.249999999999999,0.5333313726995453,53.333137269954534
6,Bald_Hill_Waubra,-37.3586,143.6947,2.256200025385,11.281000126925,1.1281000126925,4,25.0,8.75,29.733006583502032,28.70764663940182,11.483058655760727,1.0,91.66666666666666,13.749999999999998,0.35111158668453224,35.11115866845322
7,Bald_Hill_Woodstock,-36.7702,144.0525,2.256200025385,11.281000126925,1.1281000126925,4,25.0,8.75,82.45982291194328,79.61614818385779,31.846459273543122,7.0,41.666666666666664,6.249999999999999,0.4797455928623562,47.97455928623562
8,Bankin_Hill_and_Selwood_Hill,-37.419,143.7215,2.256200025385,11.281000126925,1.1281000126925,3,50.0,17.5,29.733006583502032,28.70764663940182,11.483058655760727,1.0,91.66666666666666,13.749999999999998,0.43861158668453226,43.86115866845323
9,Bay_Hill,-37.461,144.626,0.6798578499850001,3.3992892499250007,0.33992892499250005,1,100.0,35.0,16.37955701033845,15.814698504914851,6.325879401965941,2.0,83.33333333333334,12.5,0.5416580832695843,54.165808326958434
10,Beattie_Hill,-37.5351,144.6125,1.730752633585,8.653763167925002,0.8653763167925,1,100.0,35.0,16.37955701033845,15.814698504914851,6.325879401965941,4.0,66.66666666666667,10.0,0.5219125571875843,52.191255718758434
11,Beavers_Hill,-37.4338,144.1364,1.730752633585,8.653763167925002,0.8653763167925,2,75.0,26.249999999999996,21.96851985548765,21.210922730967923,8.484369092387169,2.0,83.33333333333334,12.5,0.4809974540917966,48.09974540917966
12,Big_Hill_Lexton,-37.3187,143.6001,2.907297880585,14.536489402924998,1.4536489402925,5,0.0,0.0,64.16918901091714,61.95627738112929,24.782510952451716,3.0,75.0,11.249999999999998,0.37486159892744214,37.48615989274421
13,Birch_Hill,-37.3485,143.9198,2.907297880585,14.536489402924998,1.4536489402925,3,50.0,17.5,27.719349815883355,26.763431991095356,10.705372796438143,8.0,33.333333333333336,5.0,0.3465902173673064,34.65902173673064
14,Black_Hill_Gordon,-37.5872,144.0792,2.907297880585,14.536489402924998,1.4536489402925,2,75.0,26.249999999999996,21.96851985548765,21.210922730967923,8.484369092387169,2.0,83.33333333333334,12.5,0.48688018032679664,48.688018032679665
15,Brown_Hill,-37.4164,143.7029,3.741160045785,18.705800228925,1.8705800228925002,3,50.0,17.5,29.733006583502032,28.70764663940182,11.483058655760727,4.0,66.66666666666667,10.0,0.40853638678653226,40.853638678653226
16,Bullarook_Hill,-37.4147,144.0237,2.907297880585,14.536489402924998,1.4536489402925,3,50.0,17.5,27.719349815883355,26.763431991095356,10.705372796438143,3.0,75.0,11.249999999999998,0.4090902173673064,40.90902173673064
17,Burnt_Hill,-37.3485,144.0827,0.6798578499850001,3.3992892499250007,0.33992892499250005,2,75.0,26.249999999999996,27.719349815883355,26.763431991095356,10.705372796438143,3.0,75.0,11.249999999999998,0.4854530172143064,48.54530172143064
18,Cantwell_Hill,-37.6352,144.1268,2.256200025385,11.281000126925,1.1281000126925,2,75.0,26.249999999999996,21.96851985548765,21.210922730967923,8.484369092387169,2.0,83.33333333333334,12.5,0.48362469105079664,48.36246910507966
19,Cardinal_Hill,-37.4034,143.6335,2.907297880585,14.536489402924998,1.4536489402925,4,25.0,8.75,29.733006583502032,28.70764663940182,11.483058655760727,7.0,41.666666666666664,6.249999999999999,0.2793670759605323,27.93670759605323
20,Carlsruhe,-37.2997,144.5188,2.381850488785,11.909252443925,1.1909252443925,2,75.0,26.249999999999996,16.37955701033845,15.814698504914851,6.325879401965941,3.0,75.0,11.249999999999998,0.4501680464635843,45.01680464635843
21,Cattle_Station_Hill,-37.3624,143.8466,2.256200025385,11.281000126925,1.1281000126925,3,50.0,17.5,29.733006583502032,28.70764663940182,11.483058655760727,2.0,83.33333333333334,12.5,0.4261115866845323,42.61115866845323
22,Clarkes_Hill,-37.4872,143.9796,2.256200025385,11.281000126925,1.1281000126925,3,50.0,17.5,21.96851985548765,21.210922730967923,8.484369092387169,2.0,83.33333333333334,12.5,0.3961246910507967,39.61246910507967
23,Cleever_Hill,-37.5327,144.1682,2.381850488785,11.909252443925,1.1909252443925,2,75.0,26.249999999999996,21.96851985548765,21.210922730967923,8.484369092387169,2.0,83.33333333333334,12.5,0.4842529433677966,48.425294336779665
24,Clover_Hill,-37.3095,143.8902,2.01061048357,10.05305241785,1.005305241785,3,50.0,17.5,27.719349815883355,26.763431991095356,10.705372796438143,4.0,66.66666666666667,10.0,0.39210678038223146,39.21067803822314
25,Cloverbank_Hill,-37.373,143.7391,2.907297880585,14.536489402924998,1.4536489402925,3,50.0,17.5,29.733006583502032,28.70764663940182,11.483058655760727,1.0,91.66666666666666,13.749999999999998,0.4418670759605322,44.18670759605322
26,Coghills_Hill,-37.4067,143.7701,2.907297880585,14.536489402924998,1.4536489402925,3,50.0,17.5,29.733006583502032,28.70764663940182,11.483058655760727,2.0,83.33333333333334,12.5,0.42936707596053225,42.936707596053225
27,Cranneys_Hill,-37.3906,144.3463,1.730752633585,8.653763167925002,0.8653763167925,2,75.0,26.249999999999996,27.719349815883355,26.763431991095356,10.705372796438143,2.0,83.33333333333334,12.5,0.5032074911323063,50.32074911323063
28,Crowe_Hill,-37.5855,144.8686,1.730752633585,8.653763167925002,0.8653763167925,1,100.0,35.0,37.42442465756515,36.133821708714486,14.453528683485795,6.0,50.0,7.5,0.5781890500027829,57.818905000278285
29,Currys_Hill,-37.3573,144.2141,2.690265262185,13.451326310925,1.3451326310925,2,75.0,26.249999999999996,27.719349815883355,26.763431991095356,10.705372796438143,2.0,83.33333333333334,12.5,0.5080050542753064,50.80050542753064
30,Deverall_Hill,-37.5294,144.6385,2.907297880585,14.536489402924998,1.4536489402925,1,100.0,35.0,37.42442465756515,36.133821708714486,14.453528683485795,5.0,58.33333333333333,8.749999999999998,0.596571776237783,59.6571776237783
31,Dolphins_Hill,-37.3967,144.2531,2.1648178703850003,10.824089351925,1.0824089351925001,2,75.0,26.249999999999996,27.719349815883355,26.763431991095356,10.705372796438143,2.0,83.33333333333334,12.5,0.5053778173163064,50.53778173163064
32,Donnelly_Hill,-37.3997,144.0471,1.730752633585,8.653763167925002,0.8653763167925,2,75.0,26.249999999999996,27.719349815883355,26.763431991095356,10.705372796438143,3.0,75.0,11.249999999999998,0.49070749113230633,49.07074911323063
33,Eastern_Hill,-37.3476,144.0526,2.907297880585,14.536489402924998,1.4536489402925,2,75.0,26.249999999999996,27.719349815883355,26.763431991095356,10.705372796438143,8.0,33.333333333333336,5.0,0.4340902173673064,43.409021736730644
