Volcanic Centre Name,LAT_CENTRE,LON_CENTRE,Area_0_5_km2,Avg_Density_0_5,Ranking_0_5,Area_5_10_km2,Avg_Density_5_10,Ranking_5_10,Area_10_25_km2,Avg_Density_10_25,Ranking_10_25,Area_25_50_km2,Avg_Density_25_50,Ranking_25_50,Area_50_100_km2,Avg_Density_50_100,Ranking_50_100,Exposure_Pareto_Front
Aitken_Hill,-37.609,144.9043,78.0,1675.149,5,234.0,504.89246,4,1648.0,1012.27136,3,5361.0,464.914,3,20880.0,73.151985,2,1
Baird_Hill,-37.3915,143.7341,78.0,6.3725085,4,235.0,3.0248804,3,1648.0,69.54667,3,5882.0,10.284029,2,23491.0,37.117157,2,4
Bald_Hill_Blakeville,-37.5277,144.2105,81.0,2.3527489,4,236.0,19.65161,4,1647.0,16.882172,3,5885.0,67.92004,3,21545.0,204.74988,2,2
Bald_Hill_Daylesford,-37.3285,144.11,78.0,52.879227,5,234.0,6.079544,4,1649.0,7.836334,3,5879.0,39.71264,3,22901.0,134.54854,2,1
Bald_Hill_Edgecombe,-37.1987,144.4557,79.0,27.67196,4,237.0,30.442968,4,1642.0,11.824612,3,5883.0,29.454037,2,22919.0,178.17194,2,3
Bald_Hill_Kalkallo,-37.5054,144.9755,80.0,264.006,5,235.0,248.8224,4,1642.0,406.66934,3,5734.0,556.60077,3,21422.0,88.935455,2,1
Bald_Hill_Waubra,-37.3586,143.6947,78.0,3.464084,4,238.0,4.6453605,4,1644.0,31.905514,3,5881.0,20.255514,2,23528.0,23.705763,1,4
Bald_Hill_Woodstock,-36.7702,144.0525,80.0,2.160588,4,234.0,12.129096,4,1642.0,57.63404,3,5889.0,10.214702,2,23522.0,11.877772,1,4
Bankin_Hill_and_Selwood_Hill,-37.419,143.7215,78.0,6.477696,4,234.0,7.6523666,4,1655.0,74.77285,3,5875.0,8.607386,2,23492.0,39.241104,2,3
Bay_Hill,-37.461,144.626,77.0,138.1724,5,237.0,51.434204,4,1645.0,65.83109,3,5873.0,373.86237,3,21478.0,166.66437,2,1
