SUB_PROVINCE,Volcanic Centre Name,VOLCANIC_CENTRE_DESCRIPTION_NEW,LAT_CENTRE,LON_CENTRE,COMMENTS,AGE_MA,Bulk Geochem,VEI,Cone Height (m),Recurrence_Interval,Average_Rainfall,Rebuilt_Flank,Max_Slope_Degrees,Max_Slope_%,Water,Recorded_PDC,Geo_PDC,Recorded_Lahar,Geo_Lahar,PM2.5,Built_3km,Shoreline_15km,LavaDelta,DeltaSlope,Unstable_Slopes
CH,Aitken_Hill,Lava_shield,-37.609,144.9043,AKA Mt Yuroke,3.804 +- 0.007,Trachybasalt to basaltic trachyandesite,,30,10800,518,FALSE,15.64224646,28,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Baird_Hill,Scoria_cone,-37.3915,143.7341,,,,,40,10800,518,FALSE,15.90755193,28.5,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Bald_Hill_Blakeville,Scoria_cone,-37.5277,144.2105,,,,,72,10800,518,FALSE,15.21632671,27.2,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Bald_Hill_Daylesford,Scoria_cone,-37.3285,144.11,,,K-Rich Nepheline Hawaiite,,45,10800,518,FALSE,19.29004622,35,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Bald_Hill_Edgecombe,Lava_shield,-37.1987,144.4557,,,Transitional Basalt,,22,10800,518,FALSE,6.27729849,11,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Bald_Hill_Kalkallo,Lava_shield,-37.5054,144.9755,,7.9331 +- 0.038,Basanite to alkali basalt,,70,10800,518,FALSE,13.49573328,24,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Bald_Hill_Waubra,Lava_shield,-37.3586,143.6947,,,,,90,10800,518,FALSE,11.30993247,20,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Bald_Hill_Woodstock,Lava_shield,-36.7702,144.0525,,"1.51 +- 0.06, 1.62, 1.66 +- 0.1,2.89 +-0.1, 5.07",Tholeiite,,50,10800,518,FALSE,10.20397372,18,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Bankin_Hill_and_Selwood_Hill,Scoria_cone,-37.419,143.7215,,,,,58,10800,518,FALSE,13.8743533,24.7,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Bay_Hill,Lava_shield,-37.461,144.626,,,Olivine Basalt,,26,10800,518,FALSE,7.237817049,12.7,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Beattie_Hill,Lava_shield,-37.5351,144.6125,,,Hawaiite,,22,10800,518,FALSE,12.95276451,23,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Beavers_Hill,Lava_shield,-37.4338,144.1364,,,K-Rich Hawaiite,,24,10800,518,FALSE,8.866676044,15.6,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Big_Hill_Lexton,Scoria_cone,-37.3187,143.6001,,,Tholeiite,,125,10800,518,FALSE,14.5742162,26,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
