Area Served,Callsign,Frequency(kHz),Purpose,Site Id,Site Name,Lat_Deg,Lat_Hr,Lat_Min,Lon_Deg,Lon_Hr,Lon_Min,BSL,Licence Area,lat_dec,lon_dec
Adelaide,,531,HPON,139918,Gumnut Nominees Site South Terrace WINGFIELD,34.0,50.0,14.0,138.0,34.0,28.0,,,-33.16277777777778,138.57444444444445
Adelaide,5RN,729,National,141184,East Stdby Mast BAI Comms Site  107 Sherriffs Rd REYNELLA,35.0,6.0,14.0,138.0,31.0,14.0,,,-34.89611111111111,138.52055555555557
Adelaide,5RN,729,National,23234,Main Mast BAI Comms Site  107 Sherriffs Rd REYNELLA,35.0,6.0,14.0,138.0,31.0,7.0,,,-34.89611111111111,138.5186111111111
Adelaide,5AN,891,National,141183,North Stdby Mast BAI Comms Site  107 Sherriffs Rd REYNELLA,35.0,6.0,9.0,138.0,31.0,5.0,,,-34.8975,138.51805555555558
Adelaide,5AN,891,National,23234,Main Mast BAI Comms Site  107 Sherriffs Rd REYNELLA,35.0,6.0,14.0,138.0,31.0,7.0,,,-34.89611111111111,138.5186111111111
Adelaide,5PB,972,National,139916,East Mast BAI Comms Site  2-30 Rafferty St WINGFIELD,34.0,50.0,14.0,138.0,34.0,15.0,,,-33.16277777777778,138.57083333333333
Adelaide,5RPH,1197,Community,139917,West Mast BAI Comms Site  2-30 Rafferty St WINGFIELD,34.0,50.0,15.0,138.0,34.0,11.0,5272,ADELAIDE RA1,-33.162499999999994,138.56972222222223
Adelaide,5DN,1323,Commercial,139919,South Terrace (East tower - near Wyatt St) WINGFIELD,34.0,50.0,14.0,138.0,34.0,32.0,4190,ADELAIDE RA1,-33.16277777777778,138.57555555555555
Adelaide,5DN,1323,Commercial,139919,South Terrace (East tower - near Wyatt St) WINGFIELD,34.0,50.0,14.0,138.0,34.0,32.0,4190,ADELAIDE RA1,-33.16277777777778,138.57555555555555
Adelaide,5AA,1395,Commercial,151018,180 Burton Rd PARALOWIE,34.0,45.0,28.0,138.0,36.0,31.0,4189,ADELAIDE RA1,-33.242222222222225,138.60861111111112
Adelaide,,1539,HPON,151018,180 Burton Rd PARALOWIE,34.0,45.0,28.0,138.0,36.0,31.0,,,-33.242222222222225,138.60861111111112
Albury/Wodonga,3RN,990,National,153579,Broadcast Australia Site Harris Rd  2.6km NNE of WODONGA,36.0,6.0,7.0,146.0,54.0,9.0,,,-35.89805555555555,146.9025
