SUB_PROVINCE,Volcanic Centre Name,VOLCANIC_CENTRE_DESCRIPTION_NEW,LAT_CENTRE,LON_CENTRE
WP,Acacia_Hill,Lava_shield,-37.8646,142.2304
WP,Badger_Hill,Lava_shield,-37.4807,142.0455
WP,Bald_Hill_Ardonachie,Scoria_cone,-38.0337,141.91528
WP,Bald_Hill_Balliang_East,Lava_shield,-37.7757,144.4242
WP,Bald_Hill_Sunbury,Scoria_cone,-37.6037,144.7052
WP,Bald_Hill_Tatyoon,Scoria_cone,-37.5621,142.9471
WP,Birmingham,Maar_Cone_Volcanic_Complex,-38.2837,143.1053
WP,Blackwood_Hill,Lava_shield,-37.8159,142.3368
WP,Brucknell_Swamp,Maar,-38.4057,142.9238
WP,Bunnugal_Hill,Lava_shield,-37.5993,142.4198
WP,Burgers_Hill,Lava_shield,-37.871,142.181
WP,Cabbage_Tree_Hill,Lava_shield,-37.5991,144.5704
WP,Cape_Bridgewater,Maar_Cone_Volcanic_Complex,-38.3833,141.4083333
WP,Cape_Nelson,Magmatic_Volcanic_Complex,-38.4322,141.5495
WP,Cape_Sir_William_Grant,Magmatic_Volcanic_Complex,-38.4039,141.6245
WP,Cas_Maar,Maar_Cone_Volcanic_Complex,-37.7449,142.4586
WP,Cobden,Maar,-38.3362,143.0412
WP,Cobrico_Swamp,Maar,-38.3078,143.0042
WP,Cowies_Hill,Scoria_cone,-37.8396,144.6686
WP,Diarmuid_Hill,Lava_shield,-37.7951,144.7737
WP,Ecklin_Swamp,Maar,-38.3625,142.9029
WP,Elaine,Lava_shield,-37.7534,144.0111
WP,Emu_Hill,Lava_shield,-37.7703,143.5484
WP,Ewen_Hill,Maar_Cone_Volcanic_Complex,-38.2684,143.0143
WP,Fox_Hill,Lava_shield,-37.9959,142.2466
WP,Gazette_Hill,Lava_shield,-37.9094,142.1559
WP,GEOVIC_126,Lava_shield,-37.4833,143.3017
WP,GEOVIC_128,Lava_shield,-37.4827,143.4516
WP,GEOVIC_161,Unknown,-38.3118,143.4405
WP,GEOVIC_162,Unknown,-38.3118,143.4405
WP,GEOVIC_167,Unknown,-38.288,143.4078
WP,GEOVIC_178,Lava_shield,-37.5366,142.7752
WP,GEOVIC_185,Lava_shield,-38.0726,141.6001
WP,GEOVIC_188,Lava_shield,-38.0299,141.3874
WP,GEOVIC_191,Lava_shield,-38.1028,141.4546
WP,GEOVIC_195,Unknown,-38.0152,141.57903
WP,GEOVIC_196,Unknown,-37.9788,141.541
WP,GEOVIC_204,Lava_shield,-37.6444,143.3732
WP,GEOVIC_265,Lava_shield,-37.8378,141.7052
WP,Mt_Wyvern,Lava_shield,-37.7675,142.9212
WP,GEOVIC_276,Unknown,-38.047,141.996
WP,GEOVIC_317,Lava_shield,-37.5977,143.5021
WP,GEOVIC_330,Lava_shield,-37.7669,143.9811
WP,GEOVIC_331,Lava_shield,-37.9231,143.8577
WP,GEOVIC_333,Lava_shield,-37.8409,143.5743
WP,GEOVIC_342,Lava_shield,-37.8154,144.5293
WP,GEOVIC_352,Unknown,-37.6299,144.638
WP,GEOVIC_354,Lava_shield,-37.5935,144.6524
WP,GEOVIC_367,Lava_shield,-37.6384,144.7335
WP,GEOVIC_369,Lava_shield,-37.6584,144.7362
WP,GEOVIC_488,Lava_shield,-37.7443,144.4025
WP,GEOVIC_492,Lava_shield,-38.3157,143.6614
WP,GEOVIC_493,Lava_shield,-38.3011,143.7266
WP,GEOVIC_495,Lava_shield,-38.3447,143.7311
WP,GEOVIC_543,Lava_shield,-37.8016,144.4746
WP,GEOVIC_548,Scoria_cone,-37.951,143.264
WP,GEOVIC_552,Scoria_cone,-37.7736,143.3524
WP,GEOVIC_572,Lava_shield,-37.7437,143.4345
WP,GEOVIC_574,Lava_shield,-37.6905,143.3086
WP,Nanimia_Hill,Lava_shield,-37.6229,143.4128
WP,GEOVIC_582,Lava_shield,-37.5327,142.9265
WP,GEOVIC_584,Lava_shield,-37.6097,142.8108
WP,Mt_Ennerdale,Lava_shield,-37.8326,142.9503
WP,GEOVIC_591,Lava_shield,-38.0476,141.9743
WP,GEOVIC_592,Unknown,-38.0343,141.9576
WP,GEOVIC_593,Lava_shield,-38.0215,141.9529
WP,Gow_Hill,Lava_shield,-38.0129,143.8685
WP,Greek_Hill,Lava_shield,-37.8101,144.6427
WP,Green_Hill_Melton,Scoria_cone,-37.7996,144.5422
WP,Green_Hills_Minhamite,Lava_shield,-37.9986,142.386
WP,Green_Hills_Woolsthorpe,Lava_shield,-38.2171,142.4375
WP,Jays_Hill,Lava_shield,-37.8517,142.3479
WP,Lake_Bullen_Merri,Maar_Volcanic_Complex,-38.2332,143.1
WP,Lake_Cartcarrong,Maar,-38.2438,142.4532
WP,Lake_Elingamite,Maar,-38.3547,143.009
WP,Lake_Keilambete,Maar,-38.2064,142.8799
WP,Lake_Purrumbete,Maar_Volcanic_Complex,-38.28,143.228
WP,Lake_Terang,Maar_Cone_Volcanic_Complex,-38.2453,142.9083
WP,Lake_Wangoom,Maar,-38.3446,142.59
WP,Larundel,Lava_shield,-37.7951,143.9428
WP,Lawrence_Rocks,Lava_shield,-38.4099,141.67
WP,McCormacs_Trig,Maar_Cone_Volcanic_Complex,-38.339,143.1594
WP,Monmot_Hill,Twin_Scoria_cone,-37.638,143.3534
WP,MONVOLC_1,Unknown,-38.311,143.4312
WP,MONVOLC_3,Unknown,-37.6036,144.6299
WP,MONVOLC_4,Unknown,-37.7455,143.0617
WP,Moutajup_Hill,Lava_shield,-37.6721,142.2382
WP,Mt_Alvie,Magmatic_Volcanic_Complex,-38.2379,143.5214
WP,Mt_Anakie,Maar_Cone_Volcanic_Complex,-37.8975,144.2824
WP,Mt_Atkinson,Lava_shield,-37.7573,144.6824
WP,Mt_Baimbridge,Lava_shield,-37.687,142.0222
WP,Mt_Clay,Scoria_cone,-38.2139,141.7043
