Value,Custom
 Blackwood_Hill," R. Keays, I. Nicholls and P. Hayman. Month). The Newer Volcanics Province of south-eastern Australia: volcanoes of the Hamilton area.,  R. Keays, I. Nicholls and P. Hayman. (2014, Month). Eruption centres of the Hamilton area of the Newer Volcanics Province, Victoria, Australia: pinpointing volcanoes from a multifaceted approach to landform mapping of article. *Australian Journal of Earth Sciences Name, 61*(5), 735-754. 10.1080/08120099.2014.923508/Volcanic eruption centres of the mostly 4.5 Ma–5000 BP Newer Volcanics Province in the Hamilton area of southeastern Australia were examined in detail using a multifaceted approach, including ground truthing and analysis of ArcGIS Total Magnetic Intensity and seamless geology data, NASA Advanced Spaceborne Thermal Emission and Reflection Radiometer (ASTER) digital elevation models and Google Earth satellite image interpretation. Sixteen eruption centres were recognised in the Hamilton area, including three previously unrecorded volcanoes—one of which, the Cas Maar, constitutes the northernmost maar–cone volcanic complex in the Western Plains subprovince. Seven previously allocated eruption centres were placed into question based on field and laboratory observations. Three phases of volcanic activity have been suggested by other authors and are interpreted to correlate with ages of \&gt;4 Ma, ca 2 Ma and \&lt;0.5 Ma, which may be further subdivided based on preservation of outcrop. Geochemical compositions of the dominantly basaltic products become increasingly alkaline and enriched in incompatible elements from Phases 1 to 2, with Phase 3 eruptions both covering the entire geochemical range and extending into increasingly enriched compositions. This research highlights the importance of a multifaceted approach to landform mapping and demonstrates that additional volcanic centres may yet be discovered in the Newer Volcanics Province.,  R. Keays, I. Nicholls and P. Hayman. (2014, Month). Eruption centres of the Hamilton area of the Newer Volcanics Province, Victoria, Australia: pinpointing volcanoes from a multifaceted approach to landform mapping of article. *Australian Journal of Earth Sciences Name, 61*(5), 735-754. 10.1080/08120099.2014.923508/Volcanic eruption centres of the mostly 4.5 Ma–5000 BP Newer Volcanics Province in the Hamilton area of southeastern Australia were examined in detail using a multifaceted approach, including ground truthing and analysis of ArcGIS Total Magnetic Intensity and seamless geology data, NASA Advanced Spaceborne Thermal Emission and Reflection Radiometer (ASTER) digital elevation models and Google Earth satellite image interpretation. Sixteen eruption centres were recognised in the Hamilton area, including three previously unrecorded volcanoes—one of which, the Cas Maar, constitutes the northernmost maar–cone volcanic complex in the Western Plains subprovince. Seven previously allocated eruption centres were placed into question based on field and laboratory observations. Three phases of volcanic activity have been suggested by other authors and are interpreted to correlate with ages of \&gt;4 Ma, ca 2 Ma and \&lt;0.5 Ma, which may be further subdivided based on preservation of outcrop. Geochemical compositions of the dominantly basaltic products become increasingly alkaline and enriched in incompatible elements from Phases 1 to 2, with Phase 3 eruptions both covering the entire geochemical range and extending into increasingly enriched compositions. This research highlights the importance of a multifaceted approach to landform mapping and demonstrates that additional volcanic centres may yet be discovered in the Newer Volcanics Province.,  R. Keays, I. Nicholls and P. Hayman. Month). The Newer Volcanics Province of south-eastern Australia: volcanoes of the Hamilton area."
 Bunnugal_Hill," R. Keays, I. Nicholls and P. Hayman. (2014, Month). Eruption centres of the Hamilton area of the Newer Volcanics Province, Victoria, Australia: pinpointing volcanoes from a multifaceted approach to landform mapping of article. *Australian Journal of Earth Sciences Name, 61*(5), 735-754. 10.1080/08120099.2014.923508/Volcanic eruption centres of the mostly 4.5 Ma–5000 BP Newer Volcanics Province in the Hamilton area of southeastern Australia were examined in detail using a multifaceted approach, including ground truthing and analysis of ArcGIS Total Magnetic Intensity and seamless geology data, NASA Advanced Spaceborne Thermal Emission and Reflection Radiometer (ASTER) digital elevation models and Google Earth satellite image interpretation. Sixteen eruption centres were recognised in the Hamilton area, including three previously unrecorded volcanoes—one of which, the Cas Maar, constitutes the northernmost maar–cone volcanic complex in the Western Plains subprovince. Seven previously allocated eruption centres were placed into question based on field and laboratory observations. Three phases of volcanic activity have been suggested by other authors and are interpreted to correlate with ages of \&gt;4 Ma, ca 2 Ma and \&lt;0.5 Ma, which may be further subdivided based on preservation of outcrop. Geochemical compositions of the dominantly basaltic products become increasingly alkaline and enriched in incompatible elements from Phases 1 to 2, with Phase 3 eruptions both covering the entire geochemical range and extending into increasingly enriched compositions. This research highlights the importance of a multifaceted approach to landform mapping and demonstrates that additional volcanic centres may yet be discovered in the Newer Volcanics Province.,  R. Keays, I. Nicholls and P. Hayman. Month). The Newer Volcanics Province of south-eastern Australia: volcanoes of the Hamilton area."
 Cas_Maar," R. Keays, I. Nicholls and P. Hayman. Month). The Newer Volcanics Province of south-eastern Australia: volcanoes of the Hamilton area.,  R. Keays, I. Nicholls and P. Hayman. (2014, Month). Eruption centres of the Hamilton area of the Newer Volcanics Province, Victoria, Australia: pinpointing volcanoes from a multifaceted approach to landform mapping of article. *Australian Journal of Earth Sciences Name, 61*(5), 735-754. 10.1080/08120099.2014.923508/Volcanic eruption centres of the mostly 4.5 Ma–5000 BP Newer Volcanics Province in the Hamilton area of southeastern Australia were examined in detail using a multifaceted approach, including ground truthing and analysis of ArcGIS Total Magnetic Intensity and seamless geology data, NASA Advanced Spaceborne Thermal Emission and Reflection Radiometer (ASTER) digital elevation models and Google Earth satellite image interpretation. Sixteen eruption centres were recognised in the Hamilton area, including three previously unrecorded volcanoes—one of which, the Cas Maar, constitutes the northernmost maar–cone volcanic complex in the Western Plains subprovince. Seven previously allocated eruption centres were placed into question based on field and laboratory observations. Three phases of volcanic activity have been suggested by other authors and are interpreted to correlate with ages of \&gt;4 Ma, ca 2 Ma and \&lt;0.5 Ma, which may be further subdivided based on preservation of outcrop. Geochemical compositions of the dominantly basaltic products become increasingly alkaline and enriched in incompatible elements from Phases 1 to 2, with Phase 3 eruptions both covering the entire geochemical range and extending into increasingly enriched compositions. This research highlights the importance of a multifaceted approach to landform mapping and demonstrates that additional volcanic centres may yet be discovered in the Newer Volcanics Province."
 Ecklin_Maar," L. Ailleres, P. G. Betts and R. A. F. Cas. (2014, Month). Interpreting subsurface volcanic structures using geologically constrained 3‐D gravity inversions: Examples of maar‐diatremes, Newer Volcanics Province, southeastern Australia of article. *Journal of Geophysical Research: Solid Earth Name, 119*(4), 3857-3878. 10.1002/2013jb010751/,  J. van Otterloo, L. Ailleres, P. G. Betts and R. A. F. Cas. (2015, Month). The erupted volumes of tephra from maar volcanoes and estimates of their VEI magnitude: Examples from the late Cenozoic Newer Volcanics Province, south-eastern Australia of article. *Journal of volcanology and geothermal research Name, 301*(81-89. 10.1016/j.jvolgeores.2015.05.004/https://www.sciencedirect.com/science/article/pii/S0377027315001304,  T. N. Blaikie, L. Ailleres and P. Betts. (2012). Paper presented at LASI III Conference.9-10."
 Green_Hills," R. Keays, I. Nicholls and P. Hayman. (2014, Month). Eruption centres of the Hamilton area of the Newer Volcanics Province, Victoria, Australia: pinpointing volcanoes from a multifaceted approach to landform mapping of article. *Australian Journal of Earth Sciences Name, 61*(5), 735-754. 10.1080/08120099.2014.923508/Volcanic eruption centres of the mostly 4.5 Ma–5000 BP Newer Volcanics Province in the Hamilton area of southeastern Australia were examined in detail using a multifaceted approach, including ground truthing and analysis of ArcGIS Total Magnetic Intensity and seamless geology data, NASA Advanced Spaceborne Thermal Emission and Reflection Radiometer (ASTER) digital elevation models and Google Earth satellite image interpretation. Sixteen eruption centres were recognised in the Hamilton area, including three previously unrecorded volcanoes—one of which, the Cas Maar, constitutes the northernmost maar–cone volcanic complex in the Western Plains subprovince. Seven previously allocated eruption centres were placed into question based on field and laboratory observations. Three phases of volcanic activity have been suggested by other authors and are interpreted to correlate with ages of \&gt;4 Ma, ca 2 Ma and \&lt;0.5 Ma, which may be further subdivided based on preservation of outcrop. Geochemical compositions of the dominantly basaltic products become increasingly alkaline and enriched in incompatible elements from Phases 1 to 2, with Phase 3 eruptions both covering the entire geochemical range and extending into increasingly enriched compositions. This research highlights the importance of a multifaceted approach to landform mapping and demonstrates that additional volcanic centres may yet be discovered in the Newer Volcanics Province.,  R. Keays, I. Nicholls and P. Hayman. Month). The Newer Volcanics Province of south-eastern Australia: volcanoes of the Hamilton area."
 Jays_Hill," R. Keays, I. Nicholls and P. Hayman. (2014, Month). Eruption centres of the Hamilton area of the Newer Volcanics Province, Victoria, Australia: pinpointing volcanoes from a multifaceted approach to landform mapping of article. *Australian Journal of Earth Sciences Name, 61*(5), 735-754. 10.1080/08120099.2014.923508/Volcanic eruption centres of the mostly 4.5 Ma–5000 BP Newer Volcanics Province in the Hamilton area of southeastern Australia were examined in detail using a multifaceted approach, including ground truthing and analysis of ArcGIS Total Magnetic Intensity and seamless geology data, NASA Advanced Spaceborne Thermal Emission and Reflection Radiometer (ASTER) digital elevation models and Google Earth satellite image interpretation. Sixteen eruption centres were recognised in the Hamilton area, including three previously unrecorded volcanoes—one of which, the Cas Maar, constitutes the northernmost maar–cone volcanic complex in the Western Plains subprovince. Seven previously allocated eruption centres were placed into question based on field and laboratory observations. Three phases of volcanic activity have been suggested by other authors and are interpreted to correlate with ages of \&gt;4 Ma, ca 2 Ma and \&lt;0.5 Ma, which may be further subdivided based on preservation of outcrop. Geochemical compositions of the dominantly basaltic products become increasingly alkaline and enriched in incompatible elements from Phases 1 to 2, with Phase 3 eruptions both covering the entire geochemical range and extending into increasingly enriched compositions. This research highlights the importance of a multifaceted approach to landform mapping and demonstrates that additional volcanic centres may yet be discovered in the Newer Volcanics Province.,  R. Keays, I. Nicholls and P. Hayman. Month). The Newer Volcanics Province of south-eastern Australia: volcanoes of the Hamilton area."
 Lake_Leura," L. Ailleres, P. G. Betts and R. A. F. Cas. (2014, Month). Interpreting subsurface volcanic structures using geologically constrained 3‐D gravity inversions: Examples of maar‐diatremes, Newer Volcanics Province, southeastern Australia of article. *Journal of Geophysical Research: Solid Earth Name, 119*(4), 3857-3878. 10.1002/2013jb010751/"
 Lake_Purrumbete ," Month). Vesicle texture analysis of juvenile pyroclasts from the Pleistocene Lake Purrumbete Maar, Newer Volcanics Province, southern Australia of article. *AGU Fall Meeting Abstracts Name, 2011*(V54C-08. https://ui.adsabs.harvard.edu/abs/2011AGUFM.V54C..08J"
 Mount_Leura," J. van Otterloo, L. Ailleres, P. G. Betts and R. A. F. Cas. (2015, Month). The erupted volumes of tephra from maar volcanoes and estimates of their VEI magnitude: Examples from the late Cenozoic Newer Volcanics Province, south-eastern Australia of article. *Journal of volcanology and geothermal research Name, 301*(81-89. 10.1016/j.jvolgeores.2015.05.004/https://www.sciencedirect.com/science/article/pii/S0377027315001304"
 Mt_Baimbridge," R. Keays, I. Nicholls and P. Hayman. (2014, Month). Eruption centres of the Hamilton area of the Newer Volcanics Province, Victoria, Australia: pinpointing volcanoes from a multifaceted approach to landform mapping of article. *Australian Journal of Earth Sciences Name, 61*(5), 735-754. 10.1080/08120099.2014.923508/Volcanic eruption centres of the mostly 4.5 Ma–5000 BP Newer Volcanics Province in the Hamilton area of southeastern Australia were examined in detail using a multifaceted approach, including ground truthing and analysis of ArcGIS Total Magnetic Intensity and seamless geology data, NASA Advanced Spaceborne Thermal Emission and Reflection Radiometer (ASTER) digital elevation models and Google Earth satellite image interpretation. Sixteen eruption centres were recognised in the Hamilton area, including three previously unrecorded volcanoes—one of which, the Cas Maar, constitutes the northernmost maar–cone volcanic complex in the Western Plains subprovince. Seven previously allocated eruption centres were placed into question based on field and laboratory observations. Three phases of volcanic activity have been suggested by other authors and are interpreted to correlate with ages of \&gt;4 Ma, ca 2 Ma and \&lt;0.5 Ma, which may be further subdivided based on preservation of outcrop. Geochemical compositions of the dominantly basaltic products become increasingly alkaline and enriched in incompatible elements from Phases 1 to 2, with Phase 3 eruptions both covering the entire geochemical range and extending into increasingly enriched compositions. This research highlights the importance of a multifaceted approach to landform mapping and demonstrates that additional volcanic centres may yet be discovered in the Newer Volcanics Province.,  R. Keays, I. Nicholls and P. Hayman. Month). The Newer Volcanics Province of south-eastern Australia: volcanoes of the Hamilton area."
